Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing,Type
"4 BHK Flat for Sale in South City Villa, South City Villa, Basanta Lal Saha Road, Kolkata",Kolkata,Basanta Lal Saha Road,4,18000000,,1978.0,9100.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Bhawani Tower, Bhawani Tower, Kestopur, Kolkata",Kolkata,Kestopur,2,5200000,,850.0,6118.0,Furnished,buy
"1 BHK Flat for Sale in Agarpara, Kolkata",Kolkata,Agarpara,1,1100000,,380.0,2895.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Godrej Elevate at Godrej Seven, Godrej Elevate at Godrej Seven, Joka, Kolkata",Kolkata,Joka,3,8500000,,973.0,8736.0,Unfurnished,buy
"2 BHK Flat for Sale in Debi Enclave, Debi Enclave, Kaikhali, Kolkata",Kolkata,Kaikhali,2,2900000,,795.0,3648.0,Unfurnished,buy
"2 BHK Flat for Sale in Utsa Complex, Utsa Complex, New Town, Kolkata",Kolkata,New Town,2,4900000,,670.0,7313.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Shristi Apartment, Shristi Apartment, Barrackpore, Kolkata",Kolkata,Barrackpore,2,3900000,,810.0,4815.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Adonis Enclave, Adonis Enclave, Panchpota, Kolkata",Kolkata,Panchpota,2,2700000,,570.0,4737.0,Unfurnished,buy
"3 BHK Flat for Sale in Dhakuria, Kolkata",Kolkata,Dhakuria,3,7000000,,1000.0,7000.0,Unfurnished,buy
"2 BHK Flat for Sale in Barrackpore, Kolkata",Kolkata,Barrackpore,2,5000000,,834.0,5995.0,Semi-Furnished,buy
"1 BHK Flat for Sale in Shriram Sunshine 2, Shriram Sunshine 2, Uttar Para, Kolkata",Kolkata,Uttar Para,1,2200000,,306.0,7190.0,Unfurnished,buy
"3 BHK Flat for Sale in Eden City Maheshtala, Eden City Maheshtala, Maheshtala, Kolkata",Kolkata,Maheshtala,3,6500000,,950.0,6842.0,Unfurnished,buy
3 BHK Villa for Sale in Joka Kolkata,Kolkata,Joka,3,7350000,,1400.0,5250.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Nayabad, Kolkata",Kolkata,Nayabad,2,3920000,,920.0,4255.0,Unfurnished,buy
"4 BHK Flat for Sale in Vinayak Vista, Vinayak Vista, Lake Town, Kolkata",Kolkata,Lake Town,4,20000000,,1260.0,15873.0,Unfurnished,buy
"3 BHK Flat for Sale in Eden Elegante, Eden Elegante, Madurdaha, Hussainpur, Kolkata",Kolkata,Madurdaha,3,6500000,,980.0,6633.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Saltee Splendora, Saltee Splendora, Rajarhat, Kolkata",Kolkata,Rajarhat,3,9500000,,1613.0,5889.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Unitech Uniworld City Garden, Unitech Uniworld City Garden, Action Area 3, Kolkata",Kolkata,Action Area 3,2,10800000,,1464.0,7377.0,Semi-Furnished,buy
"2 BHK Flat for Sale in Luv Kush Residency, Luv Kush Residency, Tollygunge, Kolkata",Kolkata,Tollygunge,2,7500000,,820.0,9146.0,Semi-Furnished,buy
"3 BHK Flat for Sale in Shubham Apartments, Shubham Apartments, Alipore, Kolkata",Kolkata,Alipore,3,10000000,,1345.0,7434.0,Furnished,buy
"3 BHK Flat for Sale in International Airport, Dum Dum, Jessore Road, Kolkata",Kolkata,International Airport,3,3900000,,1115.0,3500.0,Unfurnished,buy
"3 BHK Flat for Sale in Sunrise Symphony, Sunrise Symphony, Rajarhat, Kolkata",Kolkata,Rajarhat,3,14000000,,1488.0,9409.0,Semi-Furnished,buy
"3 BHK Flat for Sale in The 64 Earth Point, The 64 Earth Point, Shanti Nagar Liluah, Kolkata",Kolkata,Shanti Nagar Liluah,3,6600000,,1040.0,6346.0,Semi-Furnished,buy
