property_price_lakhs,chosen_tax_regime,monthly_emi,effective_monthly_emi,final_buying_wealth_crore,final_renting_wealth_crore,decision
95.0,DYNAMIC,54667.0,54667.0,3.17,5.3,RENT
42.0,DYNAMIC,28125.0,28125.0,1.4,2.31,RENT
75.0,DYNAMIC,50224.0,50224.0,2.5,4.23,RENT
95.0,DYNAMIC,54667.0,54667.0,3.17,1.6,BUY
70.0,DYNAMIC,46876.0,46876.0,2.34,2.76,RENT
40.0,DYNAMIC,26786.0,26786.0,1.34,1.96,RENT
125.0,DYNAMIC,54667.0,54667.0,4.17,4.31,RENT
110.0,DYNAMIC,54667.0,54667.0,3.67,5.32,RENT
11.0,DYNAMIC,8287.0,8287.0,0.37,0.09,BUY
40.0,DYNAMIC,26786.0,26786.0,1.34,1.95,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,3.43,RENT
90.0,DYNAMIC,54667.0,54667.0,3.01,4.53,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,0.87,BUY
82.0,DYNAMIC,51479.0,51479.0,2.74,3.61,RENT
29.5,DYNAMIC,22224.0,22224.0,0.99,1.45,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,1.92,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,1.46,BUY
65.0,DYNAMIC,43527.0,43527.0,2.17,3.74,RENT
25.0,DYNAMIC,18834.0,18834.0,0.83,1.28,RENT
125.0,DYNAMIC,54667.0,54667.0,4.17,4.29,RENT
39.0,DYNAMIC,26116.0,26116.0,1.3,2.1,RENT
80.0,DYNAMIC,50224.0,50224.0,2.67,4.06,RENT
250.0,DYNAMIC,54667.0,54667.0,8.35,8.37,RENT
27.0,DYNAMIC,20341.0,20341.0,0.9,1.02,RENT
45.0,DYNAMIC,30134.0,30134.0,1.5,1.67,RENT
16.0,DYNAMIC,12054.0,12054.0,0.53,0.67,RENT
23.8,DYNAMIC,17930.0,17930.0,0.79,0.7,BUY
165.0,DYNAMIC,54667.0,54667.0,5.51,2.78,BUY
18.9,DYNAMIC,14238.0,14238.0,0.63,0.82,RENT
56.0,DYNAMIC,37500.0,37500.0,1.87,2.86,RENT
37.0,DYNAMIC,24777.0,24777.0,1.24,1.11,BUY
25.0,DYNAMIC,18834.0,18834.0,0.83,0.75,BUY
66.5,DYNAMIC,44532.0,44532.0,2.22,3.41,RENT
21.0,DYNAMIC,15820.0,15820.0,0.7,1.13,RENT
32.0,DYNAMIC,21429.0,21429.0,1.07,1.37,RENT
65.0,DYNAMIC,43527.0,43527.0,2.17,3.6,RENT
24.5,DYNAMIC,18457.0,18457.0,0.82,1.3,RENT
