Name,Address,Bedrooms,Price,Rent,Area,Furnishing,Type,Match_Type,Price_Per_Sqft,Rent_Per_Sqft
"Tollygunge, Kolkata",tollygunge,2,2900000,20500,689.0,Unfurnished,buy,exact_match,4209.0,29.75
"Gariahat, Kolkata",gariahat,3,14000000,20952,880.0,Furnished,buy,bedroom_only,15909.09,23.81
Kolkata,anisabad,3,5500000,28571,1000.0,Unfurnished,buy,address_only,5500.0,28.57
"Siddha Happyville, Siddha Happyville, Rajarhat, Kolkata",rajarhat,2,8500000,13500,945.0,Furnished,buy,exact_match,8994.71,14.29
"Purbayan Abasan , Purbayan Abasan, East Kolkata Township, Kolkata",east kolkata township,3,13000000,41274,1307.0,Semi-Furnished,buy,address_bedroom,9946.44,31.58
"SD Aqua View, SD Aqua View, Jessore Road, Kolkata",jessore road,3,4200000,25000,1070.0,Unfurnished,buy,exact_match,3925.23,23.36
"Birati, Kolkata",birati,4,4300000,22520,1126.0,Unfurnished,buy,address_only,3818.83,20.0
"Bhowanipore, Kolkata",bhawanipur,3,15000000,30000,940.0,Semi-Furnished,buy,exact_match,15957.45,31.91
"Bijoygarh, Kolkata",bijoygarh,2,5700000,11057,516.0,Semi-Furnished,buy,bedroom_only,11046.51,21.43
"Orchid Residency, Orchid Residency, Howrah, Kolkata",howrah,3,10700000,35473,1565.0,Unfurnished,buy,address_bedroom,6837.06,22.67
"Bansdroni, Kolkata",bansdroni,2,2600000,19500,588.0,Unfurnished,buy,exact_match,4421.77,33.16
"Naihati, Kolkata",naihati,3,4000000,23810,1000.0,Unfurnished,buy,bedroom_only,4000.0,23.81
"Lake Range, Kolkata",lake range,3,40000000,56548,2375.0,Furnished,buy,bedroom_only,16842.11,23.81
6 BHK House for Sale in Konnagar Kolkata,konnagar,6,29000000,175238,3200.0,Furnished,buy,bedroom_only,9062.5,54.76
"Nagerbazar, Kolkata",nagerbazar,2,3000000,10000,560.0,Unfurnished,buy,exact_match,5357.14,17.86
"Dakshindari Road, Kolkata",dakshindari road,3,7000000,27381,1150.0,Semi-Furnished,buy,bedroom_only,6086.96,23.81
"Chinsurah Station Road, Kolkata",chinsurah station road,2,2750000,16157,754.0,Semi-Furnished,buy,bedroom_only,3647.21,21.43
"Tangra, Kolkata",tangra,2,3100000,7333,550.0,Semi-Furnished,buy,address_bedroom,5636.36,13.33
"Prince Anwar Shah Road, Kolkata",prince anwar shah road,3,12500000,52903,1025.0,Furnished,buy,address_bedroom,12195.12,51.61
"Sureka Elita Garden Vista, Sureka Elita Garden Vista, New Town, Kolkata",new town,3,15500000,35000,1270.0,Semi-Furnished,buy,exact_match,12204.72,27.56
"B.K.Enterprise Keshab Dham, B.K.Enterprise Keshab Dham, Baguiati, Kolkata",baguiati,2,3500000,20000,825.0,Semi-Furnished,buy,exact_match,4242.42,24.24
6 BHK House for Sale in Lake Town Kolkata,lake town,6,12000000,24194,900.0,Semi-Furnished,buy,address_only,13333.33,26.88
"New Shrachi Garden, New Shrachi Garden, Dum Dum, Kolkata",dum dum,3,7900000,22000,834.0,Semi-Furnished,buy,exact_match,9472.42,26.38
"Godrej Seven, Godrej Seven, Joka, Kolkata",joka,3,7500000,25000,792.0,Unfurnished,buy,exact_match,9469.7,31.57
"Kankurgachi, Kolkata",kankurgachi,3,4500000,28889,1300.0,Semi-Furnished,buy,address_bedroom,3461.54,22.22
"PS Project Jubilee Park, PS Project Jubilee Park, Tollygunge, Kolkata",tollygunge,4,21500000,65000,2000.0,Semi-Furnished,buy,exact_match,10750.0,32.5
"Mukundapur, Kolkata",mukundapur,2,6800000,40991,1040.0,Unfurnished,buy,address_bedroom,6538.46,39.41
"Behala, Kolkata",behala,2,2400000,20000,915.0,Furnished,buy,exact_match,2622.95,21.86
"Block A Lake Town, Kolkata",lake town block a,4,7950000,42857,1250.0,Unfurnished,buy,address_only,6360.0,34.29
"Park Circus, Ballygunge, Kolkata",park circus,3,8800000,43450,1185.0,Semi-Furnished,buy,address_bedroom,7426.16,36.67
"Phool Bagan Kankurgachi, Kolkata",phool bagan,3,10500000,40000,1050.0,Furnished,buy,exact_match,10000.0,38.1
