Name,City,Address,Bedrooms,Price,Rent,Area,Per_Sqft_Price,Furnishing
"2 BHK Apartment for Sale in International Airport, Dum Dum, Jessore Road Kolkata",Kolkata,"International Airport, Kolkata",2,34 Lac,N/A,850,4000,Unfurnished
1 BHK Apartment for Sale in Baghajatin Colony Kolkata,Kolkata,"Baghajatin, Kolkata",1,22 Lac,N/A,490,4490,Semi-Furnished
3 BHK Apartment for Sale in Prince Anwar Shah Road Kolkata,Kolkata,"Prince Anwar Shah Road, Kolkata",3,1.12 Cr,N/A,1385,8087,Semi-Furnished
"3 BHK Apartment for Sale in The 64 Earth Point, Shanti Nagar Liluah Kolkata",Kolkata,"Shanti Nagar Liluah, Kolkata",3,66 Lac,N/A,1040,6346,Semi-Furnished
"4 BHK Apartment for Sale in Srijan Natura, New Alipore Kolkata",Kolkata,"New Alipore, Kolkata",4,2.31 Cr,N/A,1552,14884,Unfurnished
2 BHK Apartment for Sale in Garia Station Road Kolkata,Kolkata,"Garia Station Road, Kolkata",2,50 Lac,N/A,700,7143,Semi-Furnished
"3 BHK Apartment for Sale in Alcove Regency, Eastern Metropolitan Bypass Kolkata",Kolkata,"EM Bypass, Kolkata",3,2.40 Cr,N/A,2200,10909,Furnished
2 BHK Apartment for Sale in Baghajatin Colony Kolkata,Kolkata,"Baghajatin, Kolkata",2,45 Lac,N/A,1000,4500,Unfurnished
"3 BHK Apartment for Sale in Bablatala, Gopalpur Gram Kolkata",Kolkata,"Bablatala, Kolkata",3,92 Lac,N/A,1280,7188,Unfurnished
2 BHK Apartment for Sale in Bansdroni Kolkata,Kolkata,"Bansdroni, Kolkata",2,30 Lac,N/A,725,4138,Unfurnished
"2 BHK Apartment for Sale in Northern Heights, Ultadanga Kolkata",Kolkata,"Ultadanga, Kolkata",2,1.05 Cr,N/A,960,10938,Semi-Furnished
"3 BHK Apartment for Sale in Green View, Southern Avenue Kolkata",Kolkata,"Southern Avenue, Kolkata",3,1.35 Cr,N/A,1030,13107,Furnished
2 BHK Apartment for Sale in Kaikhali Kolkata,Kolkata,"Kaikhali, Kolkata",2,38 Lac,N/A,850,4471,Semi-Furnished
5 BHK House for Sale in Sector 1 Salt Lake City Kolkata,Kolkata,"Sector 1 Salt Lake City, Kolkata",5,4.50 Cr,N/A,2500,18000,Unfurnished
3 BHK House for Sale in Airport 2 Number Gate Kolkata,Kolkata,"Airport 2 Number Gate, Kolkata",3,70 Lac,N/A,1000,7000,Unfurnished
"4 BHK Apartment for Sale in Bangur Avenue, Lake Town Kolkata",Kolkata,N/A,4,1.30 Cr,N/A,1300,N/A,Semi-Furnished
5 BHK House for Sale in Tollygunge Kolkata,Kolkata,"Tollygunge, Kolkata",5,1.06 Cr,N/A,1800,5888,Unfurnished
3 BHK House for Sale in Salap Kolkata,Kolkata,"Salap, Kolkata",3,35 Lac,N/A,1000,3500,Unfurnished
4 BHK Apartment for Sale in Patuli Kolkata,Kolkata,"Patuli, Kolkata",4,75 Lac,N/A,1550,4839,Furnished
3 BHK Apartment for Sale in swastik tower Kolkata,Kolkata,"swastik tower, Kolkata",3,1.10 Cr,N/A,1680,6548,Semi-Furnished
"2 BHK Apartment for Sale in Vinayak Apartment, Chandannagar, Hooghly-Chinsurah Kolkata",Kolkata,"Chandannagar, Kolkata",2,32.2 Lac,N/A,750,4293,Unfurnished
3 BHK Apartment for Sale in Jodhpur Park Kolkata,Kolkata,"Jodhpur Park, Kolkata",3,1.20 Cr,N/A,1100,10909,Unfurnished
2 BHK Builder Floor for Sale in Dankuni Kolkata,Kolkata,"Dankuni, Kolkata",2,14 Lac,N/A,510,2745,Unfurnished
3 BHK Apartment for Sale in Aashirvaad Kolkata,Kolkata,"Aashirvaad, Kolkata",3,95 Lac,N/A,807,11772,Unfurnished
"3 BHK Apartment for Sale in Srijan The Royal Ganges, Maheshtala Kolkata",Kolkata,N/A,3,1.59 Cr,N/A,2458,N/A,Semi-Furnished
